NAMES                     IMAGE                                                      PORTS                                                                                                                                                                      STATUS
rag-frontend              rag_lab-frontend                                           0.0.0.0:3000->80/tcp, [::]:3000->80/tcp                                                                                                                                    Up 36 minutes (healthy)
rag-api-v1                rag-api-v1:latest                                          8080/tcp                                                                                                                                                                   Up About an hour (unhealthy)
rag-tempo                 grafana/tempo:latest                                       0.0.0.0:3200->3200/tcp, [::]:3200->3200/tcp, 0.0.0.0:4319->4317/tcp, [::]:4319->4317/tcp                                                                                   Up 2 hours
rag-grafana               grafana/grafana:latest                                     0.0.0.0:3001->3000/tcp, [::]:3001->3000/tcp                                                                                                                                Up 2 hours
rag-otel-collector        otel/opentelemetry-collector-contrib:latest                0.0.0.0:4317-4318->4317-4318/tcp, [::]:4317-4318->4317-4318/tcp, 0.0.0.0:8889->8889/tcp, [::]:8889->8889/tcp, 0.0.0.0:13133->13133/tcp, [::]:13133->13133/tcp, 55679/tcp   Up 52 minutes
rag-web-search            python:3.11-slim                                           0.0.0.0:8009->8009/tcp, [::]:8009->8009/tcp                                                                                                                                Up 2 days (unhealthy)
rag-searxng               searxng/searxng:latest                                     0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp                                                                                                                                Up 2 days (healthy)
rag-prometheus            prom/prometheus:latest                                     0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp                                                                                                                                Up 20 minutes (healthy)
rag-api-gateway           python:3.11-slim                                           0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp                                                                                                                                Up 2 days (unhealthy)
rag-chat-service          python:3.11-slim                                           0.0.0.0:8003->8003/tcp, [::]:8003->8003/tcp                                                                                                                                Up 2 days (unhealthy)
rag-search-service        python:3.11-slim                                           0.0.0.0:8002->8002/tcp, [::]:8002->8002/tcp                                                                                                                                Up 2 days (unhealthy)
rag-prompt-enhancement    python:3.11-slim                                           0.0.0.0:8012->8012/tcp, [::]:8012->8012/tcp                                                                                                                                Up 2 days (healthy)
rag-model-router          python:3.11-slim                                           0.0.0.0:8018->8018/tcp, [::]:8018->8018/tcp                                                                                                                                Up 2 days (healthy)
rag-embedding-service     python:3.11-slim                                           0.0.0.0:8006->8006/tcp, [::]:8006->8006/tcp                                                                                                                                Up 2 days (unhealthy)
rag-reranker              python:3.11-slim                                           0.0.0.0:8008->8008/tcp, [::]:8008->8008/tcp                                                                                                                                Up 2 days (unhealthy)
rag-knowledge-graph       python:3.11-slim                                           0.0.0.0:8007->8007/tcp, [::]:8007->8007/tcp                                                                                                                                Up 2 days (unhealthy)
rag-redis                 redis:7-alpine                                             0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp                                                                                                                                Up 2 days (healthy)
rag-ollama                ollama/ollama:latest                                       0.0.0.0:11434->11434/tcp, [::]:11434->11434/tcp                                                                                                                            Up 2 days (healthy)
rag-security-guardrails   python:3.11-slim                                           0.0.0.0:8013->8013/tcp, [::]:8013->8013/tcp                                                                                                                                Up 2 days (healthy)
rag-prompt-classifier     python:3.11-slim                                           0.0.0.0:8017->8017/tcp, [::]:8017->8017/tcp                                                                                                                                Up 2 days (unhealthy)
rag-vector-db             python:3.11-slim                                           0.0.0.0:8005->8005/tcp, [::]:8005->8005/tcp                                                                                                                                Up 2 days (unhealthy)
rag-auth-service          python:3.11-slim                                           0.0.0.0:8014->8014/tcp, [::]:8014->8014/tcp                                                                                                                                Up 2 days (healthy)
rag-dcgm-exporter         nvcr.io/nvidia/k8s/dcgm-exporter:3.1.8-3.1.5-ubuntu20.04   0.0.0.0:9400->9400/tcp, [::]:9400->9400/tcp                                                                                                                                Up 2 days
